commune_id,wilaya_code,name,name_ar
109,5,Azil Abedelkader,عزيل عبد القادر
110,5,Barika,بريكة
111,5,Batna,باتنة
112,5,Beni Foudhala El Hakania,بني فضالة الحقانية
113,5,Bitam,بيطام
114,5,Boulhilat,بولهيلات
115,5,Boumagueur,بومقر
116,5,Boumia,بومية
117,5,Bouzina,بوزينة
118,5,Chemora,الشمرة
119,5,Chir,شير
120,5,Djerma,جرمة
121,5,Djezzar,الجزار
122,5,El Hassi,الحاسي
123,5,El Madher,المعذر
124,5,Fesdis,فسديس
125,5,Foum Toub,فم الطوب
126,5,Ghassira,غسيرة
127,5,Gosbat,القصبات
128,5,Guigba,القيقبة
129,5,Hidoussa,حيدوسة
130,5,Ichemoul,إشمول
131,5,Inoughissen,إينوغيسن
132,5,Kimmel,كيمل
133,5,Ksar Bellezma,قصر بلزمة
134,5,Larbaa,لارباع
135,5,Lazrou,لازرو
136,5,Lemcene,لمسان
137,5,M Doukal,إمدوكل
138,5,Maafa,معافة
139,5,Menaa,منعة
140,5,Merouana,مروانة
141,5,N Gaous,نقاوس
142,5,Oued Chaaba,وادي الشعبة
143,5,Oued El Ma,وادي الماء
144,5,Oued Taga,وادي الطاقة
145,5,Ouled Ammar,أولاد عمار
146,5,Ouled Aouf,أولاد عوف
147,5,Ouled Fadel,أولاد فاضل
148,5,Ouled Sellem,أولاد سلام
149,5,Ouled Si Slimane,أولاد سي سليمان
150,5,Ouyoun El Assafir,عيون العصافير
151,5,Rahbat,الرحبات
152,5,Ras El Aioun,رأس العيون
153,5,Sefiane,سفيان
154,5,Seggana,سقانة
155,5,Seriana,سريانة
156,5,T Kout,تكوت
157,5,Talkhamt,تالخمت
158,5,Taxlent,تاكسلانت
159,5,Tazoult,تازولت
160,5,Teniet El Abed,ثنية العابد
161,5,Tighanimine,تيغانمين
162,5,Tigharghar,تغرغار
163,5,Tilatou,تيلاطو
164,5,Timgad,تيمقاد
165,5,Zanet El Beida,زانة البيضاء
166,6,Adekar,أدكار
167,6,Ait-Smail,أيت إسماعيل
168,6,Akbou,أقبو
169,6,Akfadou,أكفادو
170,6,Amalou,أمالو
171,6,Amizour,أميزور
172,6,Aokas,أوقاس
173,6,Aït R'zine,أيت رزين
174,6,Barbacha,برباشة
175,6,Bejaia,بجاية
176,6,Beni Djellil,بني جليل
177,6,Beni K'sila,بني كسيلة
178,6,Beni-Mallikeche,بني مليكش
179,6,Benimaouche,بني معوش
180,6,Boudjellil,بو جليل
181,6,Bouhamza,بوحمزة
182,6,Boukhelifa,بوخليفة
183,6,Chellata,شلاطة
184,6,Chemini,شميني
185,6,Darguina,درقينة
186,6,Dra El Caid,ذراع القايد
187,6,El Kseur,القصر
188,6,Fenaia Il Maten,فناية الماثن
189,6,Feraoun,فرعون
190,6,Ighil-Ali,إغيل علي
191,6,Ighram,اغرم
192,6,Kendira,كنديرة
193,6,Kherrata,خراطة
194,6,Leflaye,الفلاي
195,6,M'cisna,مسيسنة
196,6,Melbou,مالبو
197,6,Oued Ghir,وادي غير
198,6,Ouzellaguen,أوزلاقن
199,6,Seddouk,صدوق
200,6,Sidi Ayad,سيدي عياد
201,6,Sidi-Aich,سيدي عيش
202,6,Smaoun,سمعون
203,6,Souk El Tenine,سوق لإثنين
204,6,Souk Oufella,سوق اوفلا
205,6,Tala Hamza,تالة حمزة
206,6,Tamokra,تامقرة
207,6,Tamridjet,تامريجت
208,6,Taourit Ighil,تاوريرت إغيل
209,6,Taskriout,تاسكريوت
210,6,Tazmalt,تازمالت
211,6,Tibane,طيبان
212,6,Tichy,تيشي
213,6,Tifra,تيفرة
214,6,Timezrit,تيمزريت
215,6,Tinebdar,تينبدار
216,6,Tizi N'Berber,تيزي نبربر
217,6,Toudja,توجة
218,7,Ain Naga,عين الناقة
219,7,Ain Zaatout,عين زعطوط
220,7,Biskra,بسكرة
221,7,Bordj Ben Azzouz,برج بن عزوز
222,7,Bouchakroun,بوشقرون
223,7,Branis,برانيس
224,7,Chetma,شتمة
225,7,Djemorah,جمورة
226,7,El Feidh,الفيض
227,7,El Ghrous,الغروس
228,7,El Hadjab,الحاجب
229,7,El Haouch,الحوش
230,7,El Kantara,القنطرة
231,7,El Outaya,الوطاية
232,7,Foughala,فوغالة
233,7,Khenguet Sidi Nadji,خنقة سيدي ناجي
234,7,Lichana,ليشانة
235,7,Lioua,ليوة
236,7,M'Chouneche,مشونش
237,7,M'Lili,مليلي
238,7,Mekhadma,مخادمة
239,7,Meziraa,المزيرعة
240,7,Oumache,أوماش
241,7,Ourlal,أورلال
242,7,Sidi Okba,سيدي عقبة
243,7,Tolga,طولقة
244,7,Zeribet El Oued,زريبة الوادي
245,8,Abadla,العبادلة
246,8,Bechar,بشار
247,8,Beni-Ounif,بني ونيف
248,8,Boukais,بوكايس
249,8,Erg-Ferradj,عرق فراج
250,8,Kenadsa,القنادسة
251,8,Lahmar,لحمر
252,8,Machraa-Houari-Boumediene,مشرع هواري بومدين
253,8,Meridja,المريجة
254,8,Mogheul,موغل
255,8,Taghit,تاغيت
256,9,Ain Romana,عين الرمانة
257,9,Beni Mered,بني مراد
258,9,Beni-Tamou,بني تامو
259,9,Benkhelil,بن خليل
260,9,Blida,البليدة
261,9,Bouarfa,بوعرفة
262,9,Boufarik,بوفاريك
263,9,Bougara,بوقرة
264,9,Bouinan,بوعينان
265,9,Chebli,الشبلي
266,9,Chiffa,الشفة
267,9,Chrea,الشريعة
268,9,Djebabra,جبابرة
269,9,El-Affroun,العفرون
270,9,Guerrouaou,قرواو
271,9,Hammam Elouane,حمام ملوان
272,9,Larbâa,الأربعاء
273,9,Meftah,مفتاح
274,9,Mouzaia,موزاية
275,9,Oued Djer,وادي جر
276,9,Oued El Alleug,وادي العلايق
277,9,Ouled Slama,اولاد سلامة
278,9,Ouled Yaïch,أولاد يعيش
279,9,Souhane,صوحان
280,9,Soumaa,الصومعة
281,10,Aghbalou,أغبالو
282,10,Ahl El Ksar,أهل القصر
283,10,Ain El Hadjar,عين الحجر
284,10,Ain Laloui,عين العلوي
285,10,Ain Turk,عين الترك
286,10,Ain-Bessem,عين بسام
287,10,Ait Laaziz,أيت لعزيز
288,10,Aomar,أعمر
289,10,Ath Mansour,آث  منصور
290,10,Bechloul,بشلول
291,10,Bir Ghbalou,بئر غبالو
292,10,Bordj Okhriss,برج أوخريص
293,10,Bouderbala,بودربالة
294,10,Bouira,البويرة
295,10,Boukram,بوكرم
296,10,Chorfa,شرفة
297,10,Dechmia,الدشمية
298,10,Dirah,ديرة
299,10,Djebahia,جباحية
300,10,El Adjiba,العجيبة
301,10,El Asnam,الأسنام
302,10,El Hachimia,الهاشمية
303,10,El Khabouzia,الخبوزية
304,10,El-Hakimia,الحاكمية
305,10,El-Mokrani,المقراني
306,10,Guerrouma,قرومة
307,10,Hadjera Zerga,الحجرة الزرقاء
308,10,Haizer,حيزر
309,10,Hanif,حنيف
310,10,Kadiria,قادرية
311,10,Lakhdaria,الأخضرية
312,10,M Chedallah,أمشدالة
313,10,Maala,معلة
314,10,Maamora,المعمورة
315,10,Mezdour,مزدور
316,10,Oued El Berdi,وادي البردي
317,10,Ouled Rached,أولاد راشد
318,10,Raouraoua,روراوة
319,10,Ridane,ريدان
320,10,Saharidj,سحاريج
321,10,Souk El Khemis,سوق الخميس
322,10,Sour El Ghozlane,سور الغزلان
323,10,Taghzout,تاغزوت
324,10,Taguedite,تاقديت
325,10,Z'barbar (El Isseri ),زبربر
326,11,Abelsa,ابلسة
327,11,Ain Amguel,عين امقل
328,11,Idles,أدلس
329,11,Tamanrasset,تمنراست
330,11,Tazrouk,تاظروك
331,12,Ain Zerga,عين الزرقاء
332,12,Bedjene,بجن
333,12,Bekkaria,بكارية
334,12,Bir Dheheb,بئر الذهب
335,12,Bir Mokkadem,بئر مقدم
336,12,Bir-El-Ater,بئر العاتر
337,12,Boukhadra,بوخضرة
338,12,Boulhaf Dyr,بولحاف الدير
339,12,Cheria,الشريعة
340,12,El Kouif,الكويف
341,12,El Malabiod,الماء الابيض
342,12,El Meridj,المريج
343,12,El Mezeraa,المزرعة
344,12,El Ogla,العقلة
345,12,El Ogla El Malha,العقلة المالحة
346,12,El-Aouinet,العوينات
347,12,El-Houidjbet,الحويجبات
348,12,Ferkane,فركان
349,12,Guorriguer,قريقر
350,12,Hammamet,الحمامات
351,12,Morsott,مرسط
352,12,Negrine,نقرين
353,12,Ouenza,الونزة
354,12,Oum Ali,أم علي
355,12,Saf Saf El Ouesra,صفصاف الوسرى
356,12,Stah Guentis,سطح قنطيس
357,12,Tebessa,تبسة
358,12,Telidjen,ثليجان
359,13,Ain Fetah,عين فتاح
360,13,Ain Fezza,عين فزة
361,13,Ain Ghoraba,عين غرابة
362,13,Ain Kebira,عين الكبيرة
363,13,Ain Nehala,عين النحالة
364,13,Ain Tellout,عين تالوت
365,13,Ain Youcef,عين يوسف
366,13,Amieur,عمير
367,13,Azail,العزايل
368,13,Bab El Assa,باب العسة
369,13,Beni Bahdel,بني بهدل
370,13,Beni Boussaid,بني بوسعيد
371,13,Beni Khellad,بني خلاد
372,13,Beni Mester,بني مستر
373,13,Beni Ouarsous,بني وارسوس
374,13,Beni Smiel,بني صميل
375,13,Beni Snous,بني سنوس
376,13,Bensekrane,بن سكران
377,13,Bouhlou,بوحلو
378,13,Bouihi,البويهي
379,13,Chetouane,شتوان
380,13,Dar Yaghmoracen,دار يغمراسن
381,13,Djebala,جبالة
382,13,El Aricha,العريشة
383,13,El Fehoul,الفحول
384,13,El Gor,القور
385,13,Fellaoucene,فلاوسن
386,13,Ghazaouet,الغزوات
387,13,Hammam Boughrara,حمام بوغرارة
388,13,Hennaya,الحناية
389,13,Honnaine,هنين
390,13,MSirda Fouaga,مسيردة الفواقة
391,13,Maghnia,مغنية
392,13,Mansourah,منصورة
393,13,Marsa Ben M'Hidi,مرسى بن مهيدي
394,13,Nedroma,ندرومة
395,13,Oued Lakhdar,وادي الخضر
396,13,Ouled Mimoun,أولاد ميمون
397,13,Ouled Riyah,أولاد رياح
398,13,Remchi,الرمشي
399,13,Sabra,صبرة
400,13,Sebbaa Chioukh,سبعة شيوخ
401,13,Sebdou,سبدو
402,13,Sidi Abdelli,سيدي العبدلي
403,13,Sidi Djillali,سيدي الجيلالي
404,13,Sidi Medjahed,سيدي مجاهد
405,13,Souahlia,السواحلية
406,13,Souani,السواني
407,13,Souk Tleta,سوق الثلاثاء
408,13,Terny Beni Hediel,تيرني بني هديل
409,13,Tianet,تيانت
410,13,Tlemcen,تلمسان
411,13,Zenata,زناتة
412,14,Ain Bouchekif,عين بوشقيف
413,14,Ain Deheb,عين الذهب
414,14,Ain Dzarit,عين دزاريت
415,14,Ain El Hadid,عين الحديد
416,14,Ain Kermes,عين كرمس
417,14,Bougara,بوقرة
418,14,Chehaima,شحيمة
419,14,Dahmouni,دحموني
420,14,Djebilet Rosfa,جبيلات الرصفاء
421,14,Djillali Ben Amar,جيلالي بن عمار
422,14,Faidja,الفايجة
423,14,Frenda,فرندة
424,14,Guertoufa,قرطوفة
425,14,Hamadia,حمادية
426,14,Ksar Chellala,قصر الشلالة
427,14,Madna,مادنة
428,14,Mahdia,مهدية
429,14,Mechraa Safa,مشرع الصفا
430,14,Medrissa,مدريسة
431,14,Medroussa,مدروسة
432,14,Meghila,مغيلة
433,14,Mellakou,ملاكو
434,14,Nadorah,الناظورة
435,14,Naima,النعيمة
436,14,Oued Lilli,وادي ليلي
437,14,Rahouia,الرحوية
438,14,Rechaiga,الرشايقة
439,14,Sebaine,السبعين
440,14,Sebt,السبت
441,14,Serghine,سرغين
442,14,Si Abdelghani,سي عبد الغني
443,14,Sidi Abderrahmane,سيدي عبد الرحمن
444,14,Sidi Ali Mellal,سيدي علي ملال
445,14,Sidi Bakhti,سيدي بختي
446,14,Sidi Hosni,سيدي حسني
447,14,Sougueur,السوقر
448,14,Tagdempt,تاقدمت
449,14,Takhemaret,تخمرت
450,14,Tiaret,تيارت
451,14,Tidda,تيدة
452,14,Tousnina,توسنينة
453,14,Zmalet El Emir Abdelkade,زمالة  الأمير عبد القادر
454,15,Abi-Youcef,أبي يوسف
455,15,Aghribs,أغريب
456,15,Agouni-Gueghrane,أقني قغران
457,15,Ain-El-Hammam,عين الحمام
458,15,Ain-Zaouia,عين الزاوية
459,15,Ait Aggouacha,أيت عقـواشة
460,15,Ait Bouaddou,أيت بــوادو
461,15,Ait Boumahdi,أيت بومهدي
462,15,Ait Khellili,أيت خليلي
463,15,Ait Yahia Moussa,أيت يحي موسى
464,15,Ait-Aissa-Mimoun,أيت عيسى ميمون
465,15,Ait-Chafaa,أيت شافع
466,15,Ait-Mahmoud,أيت محمود
467,15,Ait-Oumalou,أيت  أومالو
468,15,Ait-Toudert,أيت تودرت
469,15,Ait-Yahia,أيت يحيى
470,15,Akbil,اقبيل
471,15,Akerrou,أقرو
472,15,Assi-Youcef,أسي يوسف
473,15,Azazga,عزازقة
474,15,Azeffoun,أزفون
475,15,Beni Zmenzer,بنــــي زمنزار
476,15,Beni-Aissi,بني عيسي
477,15,Beni-Douala,بني دوالة
478,15,Beni-Yenni,بني يني
479,15,Beni-Zikki,بني زيكــي
480,15,Boghni,بوغني
481,15,Boudjima,بوجيمة
482,15,Bounouh,بونوح
483,15,Bouzeguene,بوزقــن
484,15,Draa-Ben-Khedda,ذراع بن خدة
485,15,Draa-El-Mizan,ذراع الميزان
486,15,Freha,فريحة
487,15,Frikat,فريقات
488,15,Iboudrarene,إبودرارن
489,15,Idjeur,إيجــار
490,15,Iferhounene,إفــرحــونان
491,15,Ifigha,إيفيغاء
492,15,Iflissen,إفليـــسن
493,15,Illilten,إيلـيــلتـن
494,15,Illoula Oumalou,إيلولة أومـــالو
495,15,Imsouhal,إمســوحال
496,15,Irdjen,إيرجـــن
497,15,Larbaa Nath Irathen,الأربعــاء ناث إيراثن
498,15,M'Kira,مكيرة
499,15,Maatkas,معـــاتقة
500,15,Makouda,ماكودة
501,15,Mechtras,مشطراس
502,15,Mekla,مقــلع
503,15,Mizrana,ميزرانـــة
504,15,Ouacif,واسيف
505,15,Ouadhias,واضية
506,15,Ouaguenoun,واقنون
507,15,Sidi Namane,سيدي نعمان
508,15,Souama,صوامـــع
509,15,Souk-El-Tenine,سوق الإثنين
510,15,Tadmait,تادمايت
511,15,Tigzirt,تيقـزيرت
512,15,Timizart,تيمـيزار
513,15,Tirmitine,تيرمتين
514,15,Tizi N'Tleta,تيزي نثلاثة
515,15,Tizi-Gheniff,تيزي غنيف
516,15,Tizi-Ouzou,تيزي وزو
517,15,Tizi-Rached,تيزي راشد
518,15,Yakourene,إعــكورن
519,15,Yatafene,يطــافن
520,15,Zekri,زكري
521,16,Ain Benian,عين بنيان
522,16,Ain Taya,عين طاية
523,16,Alger Centre,الجزائر الوسطى
524,16,Bab El Oued,باب الوادي
525,16,Bab Ezzouar,باب الزوار
526,16,Baba Hassen,بابا حسن
527,16,Bachedjerah,باش جراح
528,16,Baraki,براقي
529,16,Ben Aknoun,ابن عكنون
530,16,Beni Messous,بني مسوس
531,16,Bir Mourad Rais,بئر مراد رايس
532,16,Bir Touta,بئر توتة
533,16,Birkhadem,بئر خادم
534,16,Bologhine Ibnou Ziri,بولوغين بن زيري
535,16,Bordj El Bahri,برج البحري
536,16,Bordj El Kiffan,برج الكيفان
537,16,Bourouba,بوروبة
538,16,Bouzareah,بوزريعة
539,16,Casbah,القصبة
540,16,Cheraga,الشراقة
541,16,Dar El Beida,الدار البيضاء
542,16,Dely Ibrahim,دالي ابراهيم
543,16,Djasr Kasentina,جسر قسنطينة
544,16,Douira,الدويرة
545,16,Draria,الدرارية
546,16,El Achour,العاشور
547,16,El Biar,الابيار
548,16,El Harrach,الحراش
549,16,El Madania,المدنية
550,16,El Magharia,المغارية
551,16,El Marsa,المرسى
552,16,El Mouradia,المرادية
553,16,Hammamet,الحمامات
554,16,Herraoua,هراوة
555,16,Hussein Dey,حسين داي
556,16,Hydra,حيدرة
557,16,Khraissia,الخرايسية
558,16,Kouba,القبة
559,16,Les Eucalyptus,الكاليتوس
560,16,Maalma,المعالمة
561,16,Mohamed Belouzdad,محمد بلوزداد
562,16,Mohammadia,المحمدية
563,16,Oued Koriche,وادي قريش
564,16,Oued Smar,وادي السمار
565,16,Ouled Chebel,اولاد شبل
566,16,Ouled Fayet,اولاد فايت
567,16,Rahmania,الرحمانية
568,16,Rais Hamidou,الرايس حميدو
569,16,Reghaia,رغاية
570,16,Rouiba,الرويبة
571,16,Sehaoula,السحاولة
572,16,Sidi M'Hamed,سيدي امحمد
573,16,Sidi Moussa,سيدي موسى
574,16,Souidania,سويدانية
575,16,Staoueli,سطاوالي
576,16,Tessala El Merdja,تسالة المرجة
577,16,Zeralda,زرالدة
578,17,Ain Chouhada,عين الشهداء
579,17,Ain El Ibel,عين الإبل
580,17,Ain Fekka,عين فقه
581,17,Ain Maabed,عين معبد
582,17,Ain Oussera,عين وسارة
583,17,Amourah,عمورة
584,17,Benhar,بنهار
585,17,Benyagoub,بن يعقوب
586,17,Birine,بيرين
587,17,Bouira Lahdab,بويرة الأحداب
588,17,Charef,الشارف
589,17,Dar Chioukh,دار الشيوخ
590,17,Deldoul,دلدول
591,17,Djelfa,الجلفة
592,17,Douis,دويس
593,17,El Guedid,القديد
594,17,El Idrissia,الادريسية
595,17,El Khemis,الخميس
596,17,Faidh El Botma,فيض البطمة
597,17,Guernini,قرنيني
598,17,Guettara,قطارة
599,17,Had Sahary,حد الصحاري
600,17,Hassi Bahbah,حاسي بحبح
601,17,Hassi El Euch,حاسي العش
602,17,Hassi Fedoul,حاسي فدول
603,17,M'Liliha,مليليحة
604,17,Messaad,مسعد
605,17,Moudjebara,مجبارة
606,17,Oum Laadham,أم العظام
607,17,Sed Rahal,سد الرحال
608,17,Selmana,سلمانة
609,17,Sidi Baizid,سيدي بايزيد
610,17,Sidi Laadjel,سيدي لعجال
611,17,Taadmit,تعظميت
612,17,Zaafrane,زعفران
613,17,Zaccar,زكار
614,18,Bordj T'har,برج الطهر
615,18,Boudria Beniyadjis,بودريعة بني  ياجيس
616,18,Bouraoui Belhadef,بوراوي بلهادف
617,18,Boussif Ouled Askeur,بوسيف أولاد عسكر
618,18,Chahna,الشحنة
619,18,Chekfa,الشقفة
620,18,Djemaa Beni Habibi,الجمعة بني حبيبي
621,18,Djimla,جيملة
622,18,El Ancer,العنصر
623,18,El Aouana,العوانة
624,18,El Kennar Nouchfi,القنار نشفي
625,18,El Milia,الميلية
626,18,Emir Abdelkader,الامير عبد القادر
627,18,Erraguene Souissi,أراقن سويسي
628,18,Ghebala,غبالة
629,18,Jijel,جيجل
630,18,Kaous,قاوس
631,18,Khiri Oued Adjoul,خيري واد عجول
632,18,Oudjana,وجانة
633,18,Ouled Rabah,أولاد رابح
634,18,Ouled Yahia Khadrouch,أولاد يحيى خدروش
635,18,Selma Benziada,سلمى بن زيادة
636,18,Settara,السطارة
637,18,Sidi Abdelaziz,سيدي عبد العزيز
638,18,Sidi Marouf,سيدي معروف
639,18,Taher,الطاهير
640,18,Texenna,تاكسنة
641,18,Ziama Mansouriah,زيامة منصورية
642,19,Ain Abessa,عين عباسة
643,19,Ain Arnat,عين أرنات
644,19,Ain Azel,عين أزال
645,19,Ain El Kebira,عين الكبيرة
646,19,Ain Lahdjar,عين الحجر
647,19,Ain Oulmene,عين ولمان
648,19,Ain-Legradj,عين لقراج
649,19,Ain-Roua,عين الروى
650,19,Ain-Sebt,عين السبت
651,19,Ait Naoual Mezada,أيت نوال مزادة
652,19,Ait-Tizi,ايت تيزي
653,19,Amoucha,عموشة
654,19,Babor,بابور
655,19,Bazer-Sakra,بازر سكرة
656,19,Beidha Bordj,بيضاء برج
657,19,Bellaa,بلاعة
658,19,Beni Chebana,بني شبانة
659,19,Beni Fouda,بني فودة
660,19,Beni Ourtilane,بني ورتيلان
661,19,Beni Oussine,بني وسين
662,19,Beni-Aziz,بني عزيز
663,19,Beni-Mouhli,بني موحلي
664,19,Bir Haddada,بئر حدادة
665,19,Bir-El-Arch,بئر العرش
666,19,Bouandas,بوعنداس
667,19,Bougaa,بوقاعة
668,19,Bousselam,بوسلام
669,19,Boutaleb,بوطالب
670,19,Dehamcha,الدهامشة
671,19,Djemila,جميلة
672,19,Draa-Kebila,ذراع قبيلة
673,19,El Eulma,العلمة
674,19,El Ouricia,أوريسيا
675,19,El-Ouldja,الولجة
676,19,Guellal,قلال
677,19,Guelta Zerka,قلتة زرقاء
678,19,Guenzet,قنزات
679,19,Guidjel,قجال
680,19,Hamam Soukhna,حمام السخنة
681,19,Hamma,الحامة
682,19,Hammam Guergour,حمام قرقور
683,19,Harbil,حربيل
684,19,Kasr El Abtal,قصر الابطال
685,19,Maaouia,معاوية
686,19,Maouaklane,ماوكلان
687,19,Mezloug,مزلوق
688,19,Oued El Bared,واد البارد
689,19,Ouled Addouane,أولاد عدوان
690,19,Ouled Sabor,أولاد صابر
691,19,Ouled Si Ahmed,أولاد سي أحمد
692,19,Ouled Tebben,أولاد تبان
693,19,Rosfa,الرصفة
694,19,Salah Bey,صالح باي
695,19,Serdj-El-Ghoul,سرج الغول
696,19,Setif,سطيف
697,19,Tachouda,تاشودة
698,19,Tala-Ifacene,تالة إيفاسن
699,19,Taya,الطاية
700,19,Tella,التلة
701,19,Tizi N'Bechar,تيزي نبشار
702,20,Ain Sekhouna,عين السخونة
703,20,Aïn El Hadjar,عين الحجر
704,20,Aïn Soltane,عين السلطان
705,20,Doui Thabet,دوي ثابت
706,20,El Hassasna,الحساسنة
707,20,Hounet,هونت
708,20,Maamora,المعمورة
709,20,Moulay Larbi,مولاي العربي
710,20,Ouled Brahim,أولاد إبراهيم
711,20,Ouled Khaled,أولاد خالد
712,20,Saida,سعيدة
713,20,Sidi Ahmed,سيدي احمد
714,20,Sidi Amar,سيدي عمر
715,20,Sidi Boubekeur,سيدي بوبكر
716,20,Tircine,تيرسين
717,20,Youb,يوب
718,21,Ain Bouziane,عين بوزيان
719,21,Ain Charchar,عين شرشار
720,21,Ain Kechra,عين قشرة
721,21,Ain Zouit,عين زويت
722,21,Azzaba,عزابة
723,21,Bekkouche Lakhdar,بكوش لخضر
724,21,Ben Azzouz,بن عزوز
725,21,Beni Bechir,بني بشير
726,21,Beni Oulbane,بني ولبان
727,21,Beni Zid,بني زيد
728,21,Bin El Ouiden,بين الويدان
729,21,Bouchetata,بوشطاطة
730,21,Cheraia,الشرايع
731,21,Collo,القل
732,21,Djendel Saadi Mohamed,جندل سعدي محمد
733,21,El Arrouch,الحروش
734,21,El Ghedir,الغدير
735,21,El Hadaiek,الحدائق
736,21,El Marsa,المرسى
737,21,Emjez Edchich,مجاز الدشيش
738,21,Es Sebt,السبت
739,21,Filfila,فلفلة
740,21,Hammadi Krouma,حمادي كرومة
741,21,Kanoua,قنواع
742,21,Kerkara,الكركرة
743,21,Khenag Maoune,خناق مايو
744,21,Oued Zhour,وادي الزهور
745,21,Ouldja Boulbalout,الولجة بولبلوط
746,21,Ouled Attia,أولاد عطية
747,21,Ouled Habbaba,أولاد حبابة
748,21,Oum Toub,أم الطوب
749,21,Ramdane Djamel,رمضان جمال
750,21,Salah Bouchaour,صالح بو الشعور
751,21,Sidi Mezghiche,سيدي مزغيش
752,21,Skikda,سكيكدة
753,21,Tamalous,تمالوس
754,21,Zerdezas,زردازة
755,21,Zitouna,الزيتونة
756,22,Ain El Berd,عين البرد
757,22,Ain Kada,عين قادة
758,22,Ain Thrid,عين الثريد
759,22,Ain Tindamine,عين تندمين
760,22,Ain- Adden,عين أدن
761,22,Amarnas,العمارنة
762,22,Bedrabine El Mokrani,بضرابين المقراني
763,22,Belarbi,بلعربي
764,22,Ben Badis,بن باديس
765,22,Benachiba Chelia,بن عشيبة شلية
