source_dataset,source_product_id,family_key,subtype_key,source_title,source_description,source_bullet_points,source_brand,source_color,source_image_urls_json,useful_judgments,useful_queries
abo,B086QCHPCS,accessories,power-tool-accessories,AmazonBasics Drill and Driver Multi-Bit Set - 100-Piece (Renewed),"","Juego de 100 brocas y puntas de destornillador, ideal para metal, madera, plástico, mampostería y sierras de agujero.",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/41/41c97430.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/1a/1ad643b7.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/00/00839949.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/3a/3a046ff4.jpg""]",0,drill bits | Power & Hand Tools > drill bits
abo,B07S96B1LJ,accessories,power-tool-accessories,AmazonBasics Drill and Driver Multi-Bit Set - 100-Piece,"","100-piece drill and driver multi-bit set; ideal for metal, wood, plastic, masonry, and hole saws",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/8c/8c84f132.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/5e/5eb5e3b4.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ba/bafae8aa.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/c5/c5fb9eef.jpg""]",0,drill bits | Power & Hand Tools > drill bits
abo,B07V91S5XC,accessories,power-tool-accessories,AmazonBasics 42-piece Phillips Slotted Torx Impact Screwdriver Bit Set,"",42-delige schroevendraaierbitset. Slagtaai voor een langere levensduur in vergelijking met standaard slagmoersleutel bits.,AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/58/58cbca75.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/cb/cb4f43b7.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/3d/3d48eacf.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/e2/e22376cd.jpg""]",0,fastener drive bit | Produkte > fastener drive bit
abo,B07SCDWK8P,accessories,power-tool-accessories,AmazonBasics Forstner Bit Set - 14-Piece,"","14-piece forstner bit set includes the following bits: 1/4-inch, 3/8-inch, 5/8-inch, 7/8-inch, 1-1/8-inch, 1-3/8-inch, 1-5/8-inch, 1/4-inch, 1/2-inch, 3/4-inch, 1-inch, 1-1/4-inch, 1-1/2-inch, and 2-inch",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/e6/e6140b39.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/cf/cf892091.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/4f/4f521f73.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/70/703b6f85.jpg""]",0,drill bits | Power & Hand Tools > drill bits
abo,B000NXIMKY,accessories,routing-drilling-accessories,Denali 30 Professional 1/2 Carbide Router Bit Set in Wooden Box,"",Bit Set 31 Router for Bauunternehmer and Holzverarbeiter,Denali,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a4/a445db04.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/d8/d8827481.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/d7/d7e1987b.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/6f/6f4f8f3a.jpg""]",0,tools | Produkte > tools
abo,B082FQBZ4K,accessories,power-tool-accessories,"AmazonBasics Screwdriver and Nut Driver Bit Set - 48-Piece, Chrome Vanadium and S2 Steel (Renewed)","","48-piece screwdriver bit set; ideal for use on electronic devices, home appliances, furniture, and more",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7d/7de8b9bf.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/f8/f821bbd2.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/98/98bfb192.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/21/21f0bda6.jpg""]",0,tools | Power & Hand Tools > tools
abo,B07S846HD7,accessories,power-tool-accessories,AmazonBasics 32 Piece Impact Wrench Bit Set,"","32 piece impact wrench bit set ideal for use on electronic equipment, household appliances, furniture and more.",AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/c3/c3281ee2.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/61/61395819.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/57/57e3b3ac.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/cc/ccbc1fd0.jpg""]",0,drill bits | Produkte > drill bits
abo,B0847B2777,accessories,power-tool-accessories,"AmazonBasics 42-Piece Impact Screwdriver Bit Set - Phillips, Slotted and Torx (Renewed)","",42-piece set of screwdriver bits; impact tough for longer life compared to standard impact bits,AmazonBasics,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/8a/8ac6eaec.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/4a/4a045381.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/5a/5a80fa85.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/77/77710a45.jpg""]",0,tools | Power & Hand Tools > tools
abo,B000NJGCVE,accessories,power-tool-accessories,Denali 31-Piece Titanium Drilling and Screwdriving Bit Set,"",Designed to meet all of your drilling and screwdriving needs,Denali,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/a7/a74327ab.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ba/bacceb0d.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/3b/3b2d9611.jpg""]",0,tools | Products > tools
abo,B000NJCQNW,accessories,power-tool-accessories,Denali 13-Piece Wood Boring Spade Bit Set,"",Denali wood boring bits feature 1/4-inch hex shanks that fit all drills and 1/4-inch quick connects holders,Denali,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/7c/7c4e9947.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/48/481d64ac.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/51/51a9c2d4.jpg""]",0,tools | Products > tools
abo,B000HDJ4TI,accessories,power-tool-accessories,"Denali Drill Driver Accessory Set, 79-Piece","",Professional quality accessory set for drill owners,DENALI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/06/06cca770.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/c3/c3dddb4a.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/ca/ca0506ac.jpg""]",0,tools | Categorías > tools
abo,B000NJBMZA,accessories,power-tool-accessories,Denali 15-Piece Black-Oxide Drill-Bit Set,"",Denali's 15-piece drill bit set contains the most commonly used drill bits,Denali,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/16/169ee0d8.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/5e/5e169a4e.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/39/391a1ff3.jpg""]",0,tools | Products > tools
abo,B000NXFV6C,accessories,saw-blades,"Denali 7 1/4-Inch 24T Professional Saw Blades, 5-Pack","","Professional 7-1/4-inch tungsten carbide saw blades, 5/8-inch arbor with diamond knock-out, 24-tooth, 5-pack",DENALI,"","[""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/b4/b4855108.jpg"",""https://amazon-berkeley-objects.s3.amazonaws.com/images/original/20/20917bb0.jpg""]",0,tools | Categorías > tools
esci,B07STT35FF,accessories,abrasives,"Buffing Polishing Pads, SPTA 5Pc 5.5 Inch Face for 5 Inch 125mm Backing Plate Compound Buffing Sponge Pads Cutting Polishing Pad Kit For Car Buffer Polisher Compounding,Polishing and Waxing -SQPPS5MIX","SPTA - Professional Car Care Team on Amazon, Which deals only with development of the tools. We commit ourselves to using qualitative tools to improve the quality of life. <br> <br> Item Specifics<br> Material: Sponge Foam<br> Size: 5.5 inch(138mm)<br> Color: Yellow,Orange,Blue,Black,White<br> Suitable for: Waxing, Polishing, Sealing Glaze<br> <br> Usage:&Description :<br> <br> T80 Yellow Heavy-Cut Ploshing Pad<br> - This Pad has an aggressive cutting action that will remove deeper scratches,overspray,severe swirl<br> marks, 1200/1500# sanding disc marks, and heavy oxidation when used in conjunction with heavy<br> polishing compounds.<br> <br> T60 Orange Heavy-Cut Foam Pad<br> - This Pad has a moderate cutting action that will remove 1500/2000# sand scratches,overspray, and<br> surface imp","◆Compounding & Polishing & Waxing◆ There are five different colors of the sponge pad : Yellow/Orange For Heavy Cut ,Blue For Medium Cut ,White/Black For Light Cut or Finish Polish, Bring your car back to shiny! Great for removing sun abuse, car scratches, headlight wearing and etc. Yellow / Orange Heavy Cut pad suitable for removing oxidation coating and moderate to light scratches. Blue polishing pad for removing sun abuse and swirl mask. White/Black pad for finishing and waxing.
◆Unique Design◆ Different size for two sides of the pad---front 5.5 inch (138mm), Back is 5 inch (125mm)---a specicial design to protect surface from being scratched while polishing, to reduce the abrasion for both pad itself, plate and surface. and it has wider compatibility for most type of compounds compare to",SPTA,"","[""https://m.media-amazon.com/images/I/71FdgGo+mnL._SX385_.jpg""]",3,da polisher pads | esponjas para pulir | hex logic pads
esci,B07VPHN7MB,accessories,drill-bits,"Hi-Spec 130 Piece Multi SAE Drill Bit Set. 11 Sizes from 1/16in to 3/8in. Metal, Woods, Plastics, Brick & Concrete Drilling with HSS Titanium, Masonry & Brad Point Steel Bits. Complete in a Tray Case","<p><b>DRILLING AIN'T EASY</b><br>The world of drill bits is a wide one - bits are specialised for making holes in a variety of materials including wood, plastics, metal, masonry (concrete or brick). For a range of drill bits to get the job done quickly and accurately, the Hi-Spec 130 Piece Metric DIY Drill Multi-Bit Set is the complement for those everyday drilling jobs in the home, workshop or garage</p><p>✔ 130 piece drill bits for metal, plastics, brick, concrete and wood</p><p>✔ Most used metric sizes and types of drill bits needed for a wide range of DIY tasks</p><p>✔ Bits come wrapped in bags, not loose, and neatly organized in a sturdy storage tray case with a metal steel catch</p><p><br><b>CONTENTS</b><br>130 PIECE SAE SIZES:</p><p>78pc x HSS Bits<br>- 20 x 1/16<br>- 20 x 5/64<br>-","DRILLING AIN’T EASY: The world of drill bits is a wide one, with specialised bits for a variety of materials. The Hi-Spec Multi SAE Drill Bit Set is the perfect complement for those everyday drilling jobs for wood, plastics, metal, masonry, concrete and brick. A range of drill bits to get the job done quickly and accurately
130 PIECE POPULAR SIZES: This set includes the most used compatible round-shank sizes and types of twist drill bits needed for a wide range of DIY tasks - 78pc x HSS METAL BITS: 20 x 1/16, 20 x 5/64, 12 x 1/8, 12 x 5/32, 6 x 3/16, 6 x 15/64, 1 x 5/16, 1 x 3/8”; 26pc x BRAD POINT WOOD BITS: 12 x 5/32, 6 x 3/16, 6 x 15/64, 1 x 5/16, 1 x 3/8; 26pc x MASONRY BITS: 12 x 5/32, 6 x 3/16, 6 x 15/64, 1 x 5/16, 1 x 3/8”
HSS, BRAD POINT & MASONRY BITS: High-Speed Steel (HSS) bits,",Hi-Spec,"","[""https://m.media-amazon.com/images/I/713cZQukfOS._SX342_.jpg""]",2,115 piece drill bit index without drill bits | vermont american drill bit set
esci,B0013EOWCE,accessories,drill-bits,"12"" Long Brad Point Bit Set (7 Drill Bit Set). Perfect for Drilling Wood, Plastic, Drywall and Composite Materials","If you have drilled a piece of wood and came up short or had to somehow line it up from the other side and attempt to correctly drill, then this drill bit set is for you. Each bit in the set is approximately 12"" long and they are made from high speed steel. Typically brad point drill bits are perfect for drilling wood, plastic and some composite materials. Brad points have a sharp point on the tip, which prevents the bit from ""walking"" like standard twist bits tend to do especially in harder woods. This is why woodworkers love to use brad point drill bits in most all of there projects.Brad point drill bits don't move from the original contact point which tends to produce much more accurate and cleaner results. The extra long brad point drill bit set comes with the following diameter drill ","If you have drilled a piece of wood and came up short or had to somehow line it up from the other side and attempt to correctly drill, then this drill bit set is for you. Each bit in the set is approximately 12"" long and they are made from high speed steel. Typically brad point drill bits are perfect for drilling wood, plastic and some composite materials. Brad points have a sharp point on the tip, which prevents the bit from ""walking"" like standard twist bits tend to do.
Woodworkers love to use brad point drill bits on most all of there projects.
Brad point drill bits don't move from the original contact point which tends to produce much more accurate and cleaner results.
The extra long brad point drill bit set comes with the following diameter drill bits: 1/8"", 3/16"", 1/4"", 5/16"", 3/8"", ",Fulton,"","[""https://m.media-amazon.com/images/I/71iY0VnCVQL._AC_SX679_.jpg""]",2,3/16 drill bits 12” long | bosch wood drill bits
esci,B07F1GD51P,accessories,saw-blades,Vtopmart 50 Wood Oscillating Multitool Quick Release Saw Blades Compatible with Fein Multimaster Porter Cable Black & Decker Bosch Craftsman Ridgid Ryobi Makita Milwaukee Rockwell,"<p><b>Are you still looking for new oscillating saw blades to strengthen your oscillating tools? Vtopmart Oscillating Blades kit will be a great choice for you with following advantages: </b></p> <p> Combination of 50 pcs saw blades can meet daily use needs, which will help you to accomplish your work better.  </p> <p> Made of excellent manufacturing technique and high quality material , Vtopmart tool blades can give you efficient cutting experience. </p> <p> A great selection of oscillating saw blades for cutting wood,plastics, soft metals and other materials. </p> <p> Universal quick release saw blades can be used on numerous oscillating tools.</p> <p><b>Package Includes:</b></p> <p>50 Pack --- 1-3/8-Inch Wood/Plastic/Soft Metal Saw Blades</p> <p><b>Compatible with following oscillating ","Superior Value Oscillating Saw Blades kit--Contains 50 pack oscillating tool blades, for cutting wood, soft metal and plastic. These oscillating saw blades can meet a variety of needs, which could be used for workshop ,household or other place.
Tougher and Thicker Than Most--Made of alloy steel and high carbon steel , our oscillating multitool blades are manufactured with special techniques and thick gauge metals due to which it becomes durable for a long period.
Built-in Markers--Built-in length markers on two sides, one side is inch and other is centimeter, ensure you can get accurate cuts easy and fast while you working with it.
Universal Compatible System--Our quick release saw blades are compatible with many oscillating tools in the market, such as Fein Multimaster, Ryobi, Milwaukee, ",Vtopmart,Black,"[""https://m.media-amazon.com/images/I/91A44Sl1DgL._SX522_.jpg""]",2,oscilating fine tool blades | oscillating saw blades
esci,B07CK4Q716,accessories,saw-blades,Diagtree 50 Pcs Wood Universal Quick Release Oscillating Saw Blades (50 pack),"<p><b>Are you still looking for new oscillating saw blades to strengthen your oscillating tools? </b><br></p> <p><b>DIAGTREE Oscillating Blades kit will be a great choice for you with following advantages: </b></p> <p>Combination of 50 pcs saw blades can meet daily use needs, which will help you to accomplish your work better.  </p> <p> Made of excellent manufacturing technique and high quality material , Diagtree tool blades can give you efficient cutting experience. </p> <p> A great selection of oscillating saw blades for cutting wood,plastics, soft metals and other materials. </p> <p><b>Package Includes:</b></p> <p>50 Pack --- 1-3/8-Inch Wood/Plastic/Soft Metal Saw Blades</p> <p><b>Compatible with following oscillating tools:</b></p> <p>Bosch Multi-X, Bosch (<b>except MX30</b>) , Crafts","🔥NOTE：If there is no silk screen Diagtree logo on the goods you received, then it is a fake and inferior product, please contact Amazon customer se【UNIVERSAL COMPATIBLE SYSTEM】Diagtree quick release saw blades are compatible with most of oscillating tools on the market, such as Fein Multimaster, Porter Rockwell Cable, Black & Decker , Bosch Craftsman, Ridgid Ryobi, Makita Milwaukee, Dewalt, Chicago, and more. (*NOTE: Do NOT fit Dremel MM40, MM45, Bosch MX30, Rockwell Bolt On and Fein St
🔥【SHARP & TOUGH 】Made of High Carbon Steel and Stainless Steel, Thick gauge metals and special manufacturing techniques ensure superior wear tolerance and service life. Professional machine and experienced workers, sharp enough to cut the wood as quickly and easily as tofu.
🔥【ACCURATE PRECISION CUTTING】Prof",Diagtree,"","[""https://m.media-amazon.com/images/I/81JymNW9PAL._SX466_.jpg""]",1,oscilating fine tool blades
esci,B07RX6N12J,accessories,abrasives,"GALAX PRO 280W 13000OPM Max 6 Variable Speeds Orbital Sander with 15Pcs Sanding Discs, 5” electric Sander with Dust Collector for Sanding and Polishing","GALAX PRO-A team specializing in the production of power tools, such as random orbital sander, circular saw, mini circular saw, reciprocating saw and so on. If you are a DIY lover, GALAX PRO is your right choice.<br><br>6 Setting Electronic Speed Control<br> The variable speed control enables the user to set the sanding rate by using the setting wheel to choose speeds from 6,000 to 13,000 sanding movements per minute. The user can also adjust the speed while the machine is running if necessary. The required sanding speed is dependent on the material.<br><br> Velcro-type fastening system<br>This orbit sander has hook and loop type disc pad for quick disc change, hook and loop abrasive paper can be used. The Velcro-type fastening system ensures a secure hold and makes it easier than ever to ","High performance: 280W powerful fine cooper motor provides up to 13,000 rotations per minute, delivering strong power to the sanding disc for dust removal. Ideal for smoothing rough surfaces on wood, metal and/or plastic, removing paint, stain or varnish from wood, metal and/or plastic
Sand large surfaces: This sander machine is equipped with a 125 millimetre diameter sanding pad. This ensures that the user is able to sand even large surfaces and hard materials quickly. The orbital stroke rate of this sander is up to 13,000 opm, while the orbit diameter is 1.25 millimetres
Built-in dust collection system: The dust extraction system and collection bag prevents clouds of dust obstructing your view and makes the clean-up operation a lot less arduous. Simply disconnect the collection bag and d",GALAX PRO,"","[""https://m.media-amazon.com/images/I/718u8M7ImjL._AC_SX679_.jpg""]",0,""
